run_id,timestamp,scheme,library,operation,dataset_size,granularity,n_repeats,encrypt_time_mean,encrypt_time_std,compute_time_mean,compute_time_std,decrypt_time_mean,decrypt_time_std,total_time_mean,peak_memory_mb,ciphertext_size_bytes,context_size_bytes,plaintext_result,decrypted_result,max_abs_error,mean_rel_error,correct,poly_modulus_degree,scale,notes
25,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,sum,1000,packed,5,0.002772946197364945,7.906185367265671e-05,0.0647318070026813,0.0008011151269169538,0.0007219569990411401,5.087781896261216e-05,0.06822671019908738,0.00390625,334345,35476814,49717.78385284319,49717.78383676478,1.6078411135822535e-05,3.2339356040913045e-10,True,8192,1099511627776.0,"1 ciphertext(s), 4096 slots each"
26,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,mean,1000,packed,5,0.0029601480011478996,0.00019772736770537713,0.07472641319909598,0.007066114616422984,0.00047047939733602107,3.23607169545647e-05,0.0781570405975799,0.00390625,334403,35476814,49.71778385284319,49.717790514926705,6.662083514186179e-06,1.3399799825963476e-07,True,8192,1099511627776.0,"1 ciphertext(s), 4096 slots each"
27,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,add,10000,plaintext,5,0.0,0.0,3.6992030800320206e-06,3.0641314557016303e-06,0.0,0.0,3.6992030800320206e-06,0.00390625,80000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
28,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,mul,10000,plaintext,5,0.0,0.0,4.78739821119234e-06,4.3449446020994445e-06,0.0,0.0,4.78739821119234e-06,0.00390625,80000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
29,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,sum,10000,plaintext,5,0.0,0.0,3.6049998016096653e-06,1.3048401407611526e-06,0.0,0.0,3.6049998016096653e-06,0.00390625,80000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
30,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,mean,10000,plaintext,5,0.0,0.0,4.530999285634607e-06,1.472387587467166e-06,0.0,0.0,4.530999285634607e-06,0.00390625,80000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
31,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,count,10000,plaintext,5,0.0,0.0,5.167981726117432e-07,4.953349883640044e-07,0.0,0.0,5.167981726117432e-07,0.00390625,80000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
32,2026-06-19T11:29:58.115660+00:00,AES-256-GCM,cryptography,protect,10000,bulk,5,1.817919983295724e-05,3.9738055274756855e-06,,,1.45703976158984e-05,2.2982814430843253e-06,3.274959744885564e-05,0.00390625,80028,,,,0.0,0.0,True,,,confidentiality only; cannot compute on ciphertext
33,2026-06-19T11:29:58.115660+00:00,RSA-2048-OAEP,cryptography,protect_perblock,10000,per_record,5,1.6478198813274502e-05,2.133046908375282e-06,,,0.00019072740105912088,1.9227126217709896e-05,0.00020720559987239537,0.00390625,256,,,,0.0,0.0,True,,,per-8-byte-block cost; RSA-2048 max payload ~190B so bulk data uses hybrid (RSA wraps an AES key); cannot compute on ciphertext
34,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,add,10000,packed,5,0.00864737820083974,0.00020077304594589746,0.00013745719916187228,1.606311245680985e-05,0.0022783327993238347,0.0001211670520624709,0.011063168199325447,0.00390625,1003078,35476814,142.62553112568742,142.6255311259383,1.1031090707547264e-08,1.6997144693574302e-11,True,8192,1099511627776.0,"vector op: result[0] shown; errors computed over full vector; 3 ciphertext(s), 4096 slots each"
35,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,mul,10000,packed,5,0.009823607797443401,0.0006230820019780559,0.006613793599535711,0.0003846272273943128,0.0015573255994240753,3.364831576340519e-05,0.017994726996403188,0.00390625,1003205,35476814,5048.509598359651,5048.510275461328,0.0013106863279972458,1.341129808749581e-07,True,8192,1099511627776.0,"vector op: result[0] shown; errors computed over full vector; 3 ciphertext(s), 4096 slots each"
36,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,sum,10000,packed,5,0.008764474000781775,0.0005332232594037087,0.08919237539957976,0.0013295840333327161,0.0007031170011032372,2.6954548500946292e-05,0.09865996640146477,0.00390625,1002932,35476814,497121.59756933415,497121.5975472597,2.2074440494179726e-05,4.440450908210838e-11,True,8192,1099511627776.0,"3 ciphertext(s), 4096 slots each"
37,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,mean,10000,packed,5,0.008556895998481195,0.00027309900708264665,0.0903249984010472,0.0011553347904339226,0.000426531997800339,2.3534372013133452e-05,0.09930842639732873,0.00390625,1002953,35476814,49.71215975693342,49.712166522418116,6.765484698689761e-06,1.3609315571420471e-07,True,8192,1099511627776.0,"3 ciphertext(s), 4096 slots each"
38,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,add,100000,plaintext,5,0.0,0.0,7.946460100356489e-05,7.655378022905497e-05,0.0,0.0,7.946460100356489e-05,0.00390625,800000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
39,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,mul,100000,plaintext,5,0.0,0.0,6.250600126804784e-05,2.260528135210898e-05,0.0,0.0,6.250600126804784e-05,0.00390625,800000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
40,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,sum,100000,plaintext,5,0.0,0.0,1.8011400243267417e-05,7.522817699951464e-06,0.0,0.0,1.8011400243267417e-05,0.00390625,800000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
41,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,mean,100000,plaintext,5,0.0,0.0,1.7391800065524875e-05,4.690534194785383e-06,0.0,0.0,1.7391800065524875e-05,0.00390625,800000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
42,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,count,100000,plaintext,5,0.0,0.0,6.456000846810639e-07,5.866932234060818e-07,0.0,0.0,6.456000846810639e-07,0.00390625,800000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
43,2026-06-19T11:29:58.115660+00:00,AES-256-GCM,cryptography,protect,100000,bulk,5,0.0001882824013591744,7.318542874238922e-05,,,0.0001416358005371876,8.314992564827663e-05,0.000329918201896362,1.52734375,800028,,,,0.0,0.0,True,,,confidentiality only; cannot compute on ciphertext
44,2026-06-19T11:29:58.115660+00:00,RSA-2048-OAEP,cryptography,protect_perblock,100000,per_record,5,1.595119829289615e-05,1.749943368911892e-06,,,0.00017713280103635043,2.9013561644813816e-06,0.00019308399932924659,0.00390625,256,,,,0.0,0.0,True,,,per-8-byte-block cost; RSA-2048 max payload ~190B so bulk data uses hybrid (RSA wraps an AES key); cannot compute on ciphertext
45,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,add,100000,packed,5,0.07424418159935157,0.0007650734621708552,0.001478928601136431,9.648944715779953e-05,0.020056048000697047,0.000689875538182269,0.09577915820118506,1.66015625,8357066,35476814,142.62553112568742,142.62553112623326,1.3600889303688746e-08,1.7154535098084234e-11,True,8192,1099511627776.0,"vector op: result[0] shown; errors computed over full vector; 25 ciphertext(s), 4096 slots each"
46,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,mul,100000,packed,5,0.07383250599959865,0.0021510214629629192,0.0536074986011954,0.0007951620154682299,0.0138156474014977,0.0003675018335587372,0.14125565200229176,0.00390625,8357773,35476814,5048.509598359651,5048.510275453053,0.001337790297839092,1.3412575371477616e-07,True,8192,1099511627776.0,"vector op: result[0] shown; errors computed over full vector; 25 ciphertext(s), 4096 slots each"
47,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,sum,100000,packed,5,0.07331434119987534,0.0008366069672945005,0.5025414042014745,0.020386909000928256,0.0006849771991255694,1.0581983002859368e-05,0.5765407226004754,0.00390625,8357648,35476814,5006249.366621587,5006249.366510119,0.00011146813631057739,2.2265797835356422e-11,True,8192,1099511627776.0,"25 ciphertext(s), 4096 slots each"
48,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,mean,100000,packed,5,0.07512557699956232,0.0013714388126413457,0.5012902437985758,0.011008748021139448,0.00043861119920620697,6.431117747878361e-06,0.5768544319973443,0.00390625,8356592,35476814,50.06249366621587,50.06249911493869,5.448722816936424e-06,1.0883842209828704e-07,True,8192,1099511627776.0,"25 ciphertext(s), 4096 slots each"
